Resource ARN,Service Type,Tags
arn:aws:backup:us-east-1:960341592570:recovery-point:7a632b34-38b4-4f1f-8f6b-47fb7ec5cd6a,backup,{'Name': 'mysql-efs'}
arn:aws:backup:us-east-1:960341592570:recovery-point:47891d6f-6b6b-4d12-a19b-698927b683f0,backup,{'Name': 'mysql-efs'}
arn:aws:backup:us-east-1:960341592570:recovery-point:af2a0f51-9f01-4710-af0a-b5888704a8ec,backup,{'Name': 'mysql-efs'}
arn:aws:ec2:us-east-1:960341592570:elastic-ip/eipalloc-0120011bf55b9c774,ec2,"{'Owner': 'Daniel Katsenyuk', 'Account-level-resource': 'True', 'Module-Number': '4'}"
arn:aws:ec2:us-east-1:960341592570:natgateway/nat-0ebac5f6a15d7cbe1,ec2,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev', 'Name': 'task1-dev-us-east-1-daniel-katsenyuk-nat'}"
arn:aws:ec2:us-east-1:960341592570:network-interface/eni-0821ef88660f04bd6,ec2,"{'eks:eni:owner': 'amazon-vpc-cni', 'node.k8s.amazonaws.com/instance_id': 'i-0c8ccb640af951fa0', 'cluster.k8s.amazonaws.com/name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster'}"
arn:aws:ec2:us-east-1:960341592570:network-interface/eni-0074b04ca77676dce,ec2,"{'eks:eni:owner': 'amazon-vpc-cni', 'node.k8s.amazonaws.com/instance_id': 'i-0c8ccb640af951fa0', 'node.k8s.amazonaws.com/createdAt': '2026-02-24T14:30:51Z', 'cluster.k8s.amazonaws.com/name': 'task1-dev-us-east-1-daniel-katsenyuk-cluster'}"
arn:aws:eks:us-east-1:960341592570:cluster/task1-dev-us-east-1-daniel-katsenyuk-cluster,eks,"{'CreatedBy': 'Daniel Katsenyuk', 'Terraform': 'True', 'Environment': 'dev'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/kube-system/efs-csi-node-2cs9s/b26f528d-9d0d-46e7-80bc-6df2a5fb489e,eks,"{'app': 'efs-csi-node', 'controller-revision-hash': '7cc5c75fbb', 'app.kubernetes.io/name': 'aws-efs-csi-driver', 'pod-template-generation': '1', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1a', 'app.kubernetes.io/instance': 'aws-efs-csi-driver'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/kube-system/csi-secrets-store-secrets-store-csi-driver-jnncb/f70104d1-2f3f-4afb-81a5-0f07f90af439,eks,"{'app': 'secrets-store-csi-driver', 'helm.sh/chart': 'secrets-store-csi-driver-1.5.5', 'app.kubernetes.io/managed-by': 'Helm', 'controller-revision-hash': '7dcb54bcc9', 'app.kubernetes.io/name': 'secrets-store-csi-driver', 'pod-template-generation': '1', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1a', 'app.kubernetes.io/instance': 'csi-secrets-store', 'app.kubernetes.io/version': '1.5.5'}"
arn:aws:eks:us-east-1:960341592570:pod/task1-dev-us-east-1-daniel-katsenyuk-cluster/kube-system/coredns-7bc7c74875-s68ng/413d8c77-6d91-4530-abfa-7f19fc1b7090,eks,"{'eks.amazonaws.com/component': 'coredns', 'pod-template-hash': '7bc7c74875', 'topology.kubernetes.io/region': 'us-east-1', 'topology.kubernetes.io/zone': 'us-east-1a', 'k8s-app': 'kube-dns'}"
